Title,ReleaseDate,ProductionCompany
There Goes My Heart,1938-10-14,Hal Roach Studios
There Goes My Heart,1938-10-14,United Artists
Tropic Holiday,1938-07-01,Paramount Pictures
The Big Broadcast of 1938,1938-02-11,Paramount Pictures
Mannequin,1937-12-14,Metro-Goldwyn-Mayer
Mannequin,1937-12-14,Loew's Inc.
Under Western Stars,1938-04-20,Republic Pictures
Going Places,1938-12-31,Warner Bros.
The Lady Objects,1938-10-12,Columbia Pictures
That Certain Age,1938-10-07,Universal Pictures
Vivacious Lady,1938-05-13,RKO Radio Pictures
The Adventures of Tom Sawyer,1938-02-17,Selznick International Pictures
The Adventures of Tom Sawyer,1938-02-17,United Artists
Holiday,1938-06-15,Columbia Pictures
The Buccaneer,1938-02-04,Paramount Pictures
Gone with the Wind,1939-12-15,Selznick International Pictures
Gone with the Wind,1939-12-15,Metro-Goldwyn-Mayer
Gone with the Wind,1939-12-15,Loew's Inc.
Dark Victory,1939-04-22,Warner Bros.
"Goodbye, Mr. Chips",1939-05-15,Metro-Goldwyn-Mayer
"Goodbye, Mr. Chips",1939-05-15,Loew's Inc.
Love Affair,1939-04-07,RKO Radio Pictures
Mr. Smith Goes to Washington,1939-10-17,Columbia Pictures
Ninotchka,1939-11-09,Metro-Goldwyn-Mayer
Of Mice and Men,1939-12-30,Hal Roach
Of Mice and Men,1939-12-30,United Artists
Stagecoach,1939-02-02,Walter Wanger Productions
Stagecoach,1939-02-02,United Artists
The Wizard of Oz,1939-08-10,Metro-Goldwyn-Mayer
The Wizard of Oz,1939-08-10,Loew's Incorporated
Wuthering Heights,1939-03-24,Samuel Goldwyn Productions
Wuthering Heights,1939-03-24,United Artists
Babes in Arms,1939-09-15,Metro-Goldwyn-Mayer
Babes in Arms,1939-09-15,"Loew's, Inc."
Juarez,1939-04-24,Warner Bros.
Beau Geste,1939-07-24,Paramount Pictures
Drums Along the Mohawk,1939-11-02,20th Century Fox
Bachelor Mother,1939-06-30,RKO Radio Pictures
Young Mr. Lincoln,1939-06-09,Cosmopolitan Productions
Young Mr. Lincoln,1939-06-09,20th Century-Fox
Busy Little Bears,1939-04-20,Paramount Pictures
Sons of Liberty,1939-05-20,Warner Bros.
The Ugly Duckling,1939-04-07,Walt Disney Productions
The Ugly Duckling,1939-04-07,RKO Radio Pictures
Detouring America,1939-08-26,Leon Schlesinger Productions
Detouring America,1939-08-26,Warner Bros. Pictures
